site,date,start_hour,value,variable,units,quality,prelim,name 
2849,2015-01-02,10,0.0548,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,11,0.0294,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,12,0.0160,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,13,0.0152,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,14,0.0191,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,15,0.0190,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,16,0.0199,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,17,0.0194,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,18,0.0189,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,19,0.0194,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,20,0.0199,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,21,0.0166,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,22,0.0126,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,23,0.0110,NOX,Parts Per Million ( ppm ),,,Glendora-Laurel 
3774,2015-01-02,0,0.0952,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,1,0.1160,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,2,0.1021,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,3,0.0932,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,5,0.0972,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,6,0.1283,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,7,0.1385,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,14,0.0215,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,15,0.0192,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,16,0.0148,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,17,0.0189,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,18,0.0247,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,19,0.0434,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,20,0.0409,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,21,0.1064,NOX,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
