site,date,start_hour,value,variable,units,quality,prelim,name 
2849,2015-01-02,14,0.0353,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,15,0.0340,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,16,0.0293,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,17,0.0223,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,18,0.0226,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,19,0.0189,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,20,0.0163,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,21,0.0177,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,22,0.0206,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
2849,2015-01-02,23,0.0218,OZONE,Parts Per Million ( ppm ),,,Glendora-Laurel 
3774,2015-01-02,0,0.0011,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,1,0.0010,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,2,0.0006,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,3,0.0001,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,5,0.0000,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,6,0.0000,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,7,0.0000,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,14,0.0280,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,15,0.0311,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,16,0.0351,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,17,0.0296,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,18,0.0259,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,19,0.0064,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,20,0.0149,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,21,0.0004,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,22,0.0005,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,23,0.0000,OZONE,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
2899,2015-01-02,0,0.0063,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,1,0.0061,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,2,0.0061,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,5,0.0060,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,6,0.0061,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,7,0.0064,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,8,0.0089,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,9,0.0135,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,10,0.0219,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,11,0.0292,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,12,0.0334,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,13,0.0374,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,14,0.0362,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,15,0.0326,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,16,0.0388,OZONE,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
