site,date,start_hour,value,variable,units,quality,prelim,name 
3774,2015-01-02,21,0.8785,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,22,1.5393,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
3774,2015-01-02,23,1.2035,CO,Parts Per Million ( ppm ),,,Long Beach-2425 Webster Street           
2899,2015-01-02,0,1.3108,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,1,1.1530,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,2,1.0810,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,4,0.6279,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,5,0.8527,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,6,1.0957,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,7,1.1638,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,8,0.9745,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,9,0.8331,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,10,0.6417,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,11,0.5481,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,12,0.5773,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,13,0.5527,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,14,0.5688,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,15,0.5580,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,16,0.5142,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,17,0.4653,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,18,0.6908,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,19,1.0470,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,20,1.3172,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,21,1.2288,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,22,1.3890,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2899,2015-01-02,23,1.2797,CO,Parts Per Million ( ppm ),,,Los Angeles-North Main Street 
2849,2015-01-03,0,0.3398,CO,Parts Per Million ( ppm ),,,Glendora-Laurel 
